Country,2018_Export,2017_Export,2018_Import,2017_Import,2018_Balance,2017_Balance,group
Yemen,96759704,189990713,1053114,9542394,95706590,180448319,Middle East 
Martinique,100130161,135318696,3769046,4627679,96361115,130691017,Latin america
Ethiopia,353243568,861089904,248848057,292449906,104395511,568639998,Africa
Georgia,227253079,337362162,111593967,130516106,115659112,206846056,Other Europe
Guadeloupe,123270056,170209089,1980635,1734023,121289421,168475066,Latin america
Luxembourg,440021664,913832415,315709370,490925676,124312294,422906739,EU15
Benin,161398272,248572241,12975850,17819464,148422422,230752777,Africa
Marshall Is,164485465,538843232,15354970,35531484,149130495,503311748,Australia and Oceania
Suriname,210592285,322406996,38396738,58433575,172195547,263973421,Latin america
Cuba,176940472,282381239,52550,0,176887922,282381239,Latin america
Macao,241370123,397780109,64251810,95391844,177118313,302388265,China
Brunei,185665912,112105304,7017670,22800185,178648242,89305119,Others
Iceland,424700350,386108936,245402481,412964017,179297869,-26855081,Other Europe
Barbados,214915411,417094166,27821289,48107865,187094122,368986301,Latin america
Uzbekistan,203343872,133653167,12842395,14240100,190501477,119413067,Middle East 
Tanzania,259360059,129859133,60748408,131454141,198611651,-1595008,Africa
Turks & Caic Is,206657810,358111088,5100638,7618439,201557172,350492649,Latin america
French Guiana,207096575,161668537,4206640,3187726,202889935,158480811,Latin america
Sint Maarten,257629278,406558447,52865936,72244560,204763342,334313887,Latin america
Haiti,793198487,1342898210,562820868,916499404,230377619,426398806,Latin america
Uruguay,536442421,1254079640,295303743,577365613,241138678,676714027,Latin america
Antigua Barbuda,245498059,379639093,2426202,11440166,243071857,368198927,Latin america
Bermuda,268178424,521899318,9442412,33204453,258736012,488694865,Latin america
El Salvador,1706393644,2750799981,1435811325,2468004568,270582319,282795413,Latin america
Honduras,3078097996,4808699397,2759528293,4570043423,318569703,238655974,Latin america
Br  Virgin Is,344382602,292297615,17773748,6656112,326608854,285641503,Others
Aruba,348720840,878140243,16111758,33073779,332609082,845066464,Latin america
St Lucia Is,359765482,553812001,16731172,34642125,343034310,519169876,Latin america
Togo,360228993,481368346,8911312,14619864,351317681,466748482,Africa
Singapore,16790649397,25479251653,16427679268,19210610406,362970129,6268641247,Other Asian
Costa Rica,3208265557,5316110819,2843661294,4559026192,364604263,757084627,Latin america
Dominica Is,383140071,163697649,1062119,1180221,382077952,162517428,Latin america
Cayman Is,425542323,819249390,19019999,53883321,406522324,765366069,Latin america
Ukraine,1293487010,1708145741,782337283,1014491724,511149727,693654017,Other Europe
Bahrain,1083602314,843183239,569070543,1000328660,514531771,-157145421,Middle East 
Oman,1357746272,1925953246,836053837,1044748199,521692435,881205047,Middle East 
Lebanon,633364023,1101616841,63507521,128469977,569856502,973146864,Middle East 
Curacao,650545067,642823514,70862793,150623098,579682274,492200416,Latin america
Peru,5101034567,7642394231,4496441689,7245016555,604592878,397377676,Latin america
Gibraltar,621297275,1123382316,344152,636481,620953123,1122745835,Others
Morocco,1521772716,2168686842,856415046,1235176466,665357670,933510376,Africa
Afghanistan,753397466,894218537,18784973,13520650,734612493,880697887,Middle East 
Qatar,1898430484,2910539316,984817857,1197674938,913612627,1712864378,Middle East 
Guatemala,3605718258,6361704504,2506920335,4015872449,1098797923,2345832055,Latin america
Paraguay,1217175701,2228640859,63961581,137611971,1153214120,2091028888,Latin america
Jamaica,1472974805,1963845877,202794774,335320812,1270180031,1628525065,Latin america
Dominican Rep,4379940449,7248574607,3099287503,4713590376,1280652946,2534984231,Latin america
Bahamas,1590539514,2947138658,182536793,457340399,1408002721,2489798259,Latin america
Egypt,3030776901,3805515804,1308138480,1618413595,1722638421,2187102209,Africa
Brazil,19093010254,31739425200,17334624529,29021895870,1758385725,2717529330,Latin america
Argentina,4732855341,7883132600,2755537632,4812293924,1977317709,3070838676,Latin america
Panama,3403289303,5516267976,292231003,442065630,3111058300,5074202346,Latin america
Belgium,15252951202,24622423142,10307970115,14907761867,4944981087,9714661275,EU15
United Arab Em,8685474152,16533902415,2850473380,4026899677,5835000772,12507002738,Middle East 
Australia,13261814116,22111494956,5723410541,10191358803,7538403575,11920136153,Australia and Oceania
Hong Kong,13121969033,23841148870,3804809272,6952538481,9317159761,16888610389,China
Netherlands,24035942333,35277013244,12641347382,17571434877,11394594951,17705578367,EU15
